mse:0.377102071873678, mae:0.3892498585473427
mse:0.3794605477546279, mae:0.39497525530083827
mse:0.3987008906031425, mae:0.40995586198793066
mse:0.43612184122090447, mae:0.4260871384563697
mse:0.4578382778052461, mae:0.4375637047527536
mse:0.23817269315504583, mae:0.30300280956720405
mse:0.2791815002688567, mae:0.33023817853152687
mse:0.3068809116336131, mae:0.34840022792614983
mse:0.3539587004443002, mae:0.37522784566896694
mse:0.3940499628862514, mae:0.39815060692943577
mse:0.5883483946151953, mae:0.4661486145872959
mse:0.5200923734192182, mae:0.44594841597850526
mse:0.4784715809642095, mae:0.4313434291303288
mse:0.5395688297271394, mae:0.45800490910887265
mse:0.5232740412959881, mae:0.4537213386046896
mse:0.17940457072117102, mae:0.27612265757323456
mse:0.1971365043473552, mae:0.2863178868964412
mse:0.19912092179255622, mae:0.28152977062654183
mse:0.24310671111852536, mae:0.311235333702901
mse:0.2590825983724902, mae:0.314898840236647
