mse:0.239603312693318, mae:0.3025315192124047
mse:0.2811034777837956, mae:0.33291770479631577
mse:0.304430136215644, mae:0.34667658404559165
mse:0.34909104898566523, mae:0.3721896284659674
mse:0.3951985969025657, mae:0.3986023462097988
mse:0.44648980415171863, mae:0.4390452517039181

mse:0.4955065675520766, mae:0.43284263991285077
mse:0.45364768235134095, mae:0.4158123719587067
mse:0.4531652178414802, mae:0.4198007297646295
mse:0.5174873590933016, mae:0.45211700353124096
mse:0.48239991896302337, mae:0.43655980559836544
mse:0.5270391988285322, mae:0.46547972665709153
