mse:0.23910899139990707, mae:0.30161802916719516
mse:0.2810408663775158, mae:0.33120278763193894
mse:0.30696433801571815, mae:0.34896480002351893
mse:0.3556302043265307, mae:0.3768500780096706
mse:0.39414940697413564, mae:0.39840010995535036
mse:0.4446234398131755, mae:0.4379417288514158

mse:0.48261311195045903, mae:0.42631112879933947
mse:0.45199144923914225, mae:0.4149834658615099
mse:0.44815520075335286, mae:0.4171180477066687
mse:0.5132856621946676, mae:0.4503949747004261
mse:0.47421128422440134, mae:0.4345125463499439
mse:0.51636667852163, mae:0.4596406056138091
