mse:0.23881282008056123, mae:0.3045169690441757
mse:0.2786915763501766, mae:0.33062436454722194
mse:0.3142545657135426, mae:0.355298563773799
mse:0.35302905573934634, mae:0.37610580710368213
mse:0.3980050769469338, mae:0.4027365456508766
mse:0.44800920781545883, mae:0.44158507782255974
mse:0.5153838416957132, mae:0.44022905525765943
mse:0.5124900425385779, mae:0.4429642414773892
mse:0.44684138311012045, mae:0.4161162840993973
mse:0.511616067056959, mae:0.449726268150082
mse:0.47799134394667747, mae:0.4381028050036409
mse:0.5407832370360728, mae:0.47014208247099915
