mse:0.3829945894396284, mae:0.40078908553885384
mse:0.4357286677479345, mae:0.4305686222527186
mse:0.48199583083566844, mae:0.45728229373283613
mse:0.5137103335386292, mae:0.4983100658321425
mse:0.2961076511755666, mae:0.347103252552142
mse:0.3720334368862154, mae:0.39428630301658885
mse:0.41594798391600724, mae:0.43214800526444713
mse:0.42919532232734686, mae:0.44489255477189465
mse:0.33002121908105175, mae:0.3675237854826111
mse:0.37397740394539947, mae:0.3914102331765364
mse:0.40650198702626744, mae:0.41156458269286805
mse:0.4804845490827349, mae:0.4579564279571152
mse:0.1772714627936841, mae:0.25866686244501325
mse:0.2462141249118073, mae:0.3051586670000183
mse:0.31096793993754634, mae:0.346898965928562
mse:0.40418781596591613, mae:0.40191388116391896
mse:0.38299458601530406, mae:0.4007890841691241
mse:0.43572866865674464, mae:0.430568623671349
mse:0.4819958285873203, mae:0.45728229448228547
mse:0.5137103353038754, mae:0.49831006448062576
mse:0.2961076485217153, mae:0.3471032518672772
mse:0.3720344641519861, mae:0.39428701275296707
mse:0.4159479855554277, mae:0.4321480088243316
mse:0.4291953179142311, mae:0.44489256205353567
mse:0.33230936475277467, mae:0.369722843416671
mse:0.37517508387602444, mae:0.39261988396204334
mse:0.4056133912991987, mae:0.4105774442079507
mse:0.4716173486901195, mae:0.4500080429368654
mse:0.1773223291079899, mae:0.2585888855710332
mse:0.24626152729175763, mae:0.3050697507557544
mse:0.3123045913179005, mae:0.3479195631411015
mse:0.4053488047396008, mae:0.40107037868006185
mse:0.38299458447435814, mae:0.4007890831311258
mse:0.4357286700753751, mae:0.430568621898061
mse:0.48199582971149435, mae:0.45728229298338674
mse:0.5137103304494481, mae:0.49831006803870037
mse:0.29610765194603955, mae:0.3471032520331429
mse:0.37203446355350134, mae:0.3942870117111603
mse:0.41594798138661565, mae:0.4321480058265341
mse:0.4291953216653795, mae:0.4448925571991083
mse:0.33176085209298706, mae:0.3692280456065088
mse:0.375255711178055, mae:0.39266887891691377
mse:0.4056060797143952, mae:0.4105889587222224
mse:0.4715835211393116, mae:0.44998399938281936
mse:0.1770753965088262, mae:0.2586507884065745
mse:0.2446896087896825, mae:0.30431881725198856
mse:0.3143338067574484, mae:0.3489317889079272
mse:0.40713695604683525, mae:0.4031952071351019
mse:0.3829945896108446, mae:0.40078908450085554
mse:0.4357286707625242, mae:0.430568621898061
mse:0.48199583083566844, mae:0.45728229298338674
mse:0.513710332656006, mae:0.4983100658321425
mse:0.29610765211725576, mae:0.3471032494702502
mse:0.37203446370866405, mae:0.3942870139942687
mse:0.41594798162081853, mae:0.43214800526444713
mse:0.4291953219963632, mae:0.4448925576128379
mse:0.3281082080154633, mae:0.36571200613380783
mse:0.3737724860775806, mae:0.3912490251410701
mse:0.4065396941555468, mae:0.4115959027008548
mse:0.4804845519854331, mae:0.4579564284868852
mse:0.17713523288915664, mae:0.25873430754736687
mse:0.24585748951652273, mae:0.30481702453256315
mse:0.31279163566027895, mae:0.3478326496078225
mse:0.4054708452083901, mae:0.4011389122176155
mse:0.38299458704260136, mae:0.40078908552815284
mse:0.4358559480361577, mae:0.4306750561766307
mse:0.48199583195984247, mae:0.45728229335811144
mse:0.5137103330973175, mae:0.49831006406689615
mse:0.29610765408624223, mae:0.3471032518672772
mse:0.37203446388599287, mae:0.39428700991570614
mse:0.415947982136065, mae:0.4321480058265341
mse:0.4291953196794774, mae:0.44489255673021477
mse:0.3247715530718964, mae:0.3625200859670827
mse:0.3743825632056488, mae:0.39169458292706816
mse:0.4056133909794599, mae:0.4105774460837518
mse:0.48065005917867437, mae:0.45795944012455253
mse:0.17707539733116162, mae:0.25865078736055863
mse:0.24623887929057536, mae:0.3052097548163361
mse:0.3126658329086534, mae:0.3483004056400202
mse:0.40475465366547003, mae:0.40101102762956903
