ETTh1_96_96 mse:0.38299458687138516, mae:0.40078908621301773
ETTh1_96_192 mse:0.4357286702305378, mae:0.4305686201247729
ETTh1_96_336 mse:0.4819958293367697, mae:0.45728229410756077
ETTh1_96_720 mse:0.5137103344212522, mae:0.49831006450820775
ETTh2_96_96 mse:0.2961076523740801, mae:0.3471032523809258
ETTh2_96_192 mse:0.3720344629106844, mae:0.3942870106250214
ETTh2_96_336 mse:0.4159479811992533, mae:0.4321480056391718
ETTh2_96_720 mse:0.4291953207827563, mae:0.4448925580265675
ETTm1_96_96 mse:0.3322894338604788, mae:0.369707581364352
ETTm1_96_192 mse:0.3743122561704619, mae:0.39154495317671406
ETTm1_96_336 mse:0.41408061587922423, mae:0.41786081551652854
ETTm1_96_720 mse:0.47167163736874745, mae:0.4500317011466899
ETTm2_96_96 mse:0.17707539571388023, mae:0.2586507871544857
ETTm2_96_192 mse:0.24577481553822647, mae:0.3047453853448772
ETTm2_96_336 mse:0.31036122583908643, mae:0.34653046575704216
ETTm2_96_720 mse:0.40436576319650286, mae:0.40223178498425555
ETTh1_96_96 mse:0.3829945873850338, mae:0.40078908449015455
ETTh1_96_192 mse:0.43572866934389376, mae:0.4305686211665796
ETTh1_96_336 mse:0.4819958282125956, mae:0.45728229373283613
ETTh1_96_720 mse:0.5137103322146944, mae:0.4983100653908309
ETTh2_96_96 mse:0.29610765297333685, mae:0.347103251348278
ETTh2_96_192 mse:0.37203343673105266, mae:0.3942863021299448
ETTh2_96_336 mse:0.41594798101189095, mae:0.43214800488972244
ETTh2_96_720 mse:0.42919531636964053, mae:0.4448925553786981
ETTm1_96_96 mse:0.3323079646605371, mae:0.36968866911184867
ETTm1_96_192 mse:0.3738883724042393, mae:0.39133902821781585
ETTm1_96_336 mse:0.40557861978260595, mae:0.41057056808343784
ETTm1_96_720 mse:0.47160105130074476, mae:0.4499657079115277
ETTm2_96_96 mse:0.17734179601758002, mae:0.25870669975322497
ETTm2_96_192 mse:0.24645217067579883, mae:0.3053486491580203
ETTm2_96_336 mse:0.3143869187504679, mae:0.34880411333413225
ETTm2_96_720 mse:0.40480947529824834, mae:0.40079481448192156
ETTh1_96_96 mse:0.3829945873850338, mae:0.400789082446261
ETTh1_96_192 mse:0.4357286705851954, mae:0.430568621898061
ETTh1_96_336 mse:0.4819958293367697, mae:0.45728229298338674
ETTh1_96_720 mse:0.5137103313320712, mae:0.4983100636255846
ETTh2_96_96 mse:0.2961076516892152, mae:0.3471032515248448
ETTh2_96_192 mse:0.37203446346483693, mae:0.39428701328495347
ETTh2_96_336 mse:0.415947983260239, mae:0.4321480043276354
ETTh2_96_720 mse:0.42919532210669104, mae:0.44489255697845254
ETTm1_96_96 mse:0.3323093624990148, mae:0.36972284132855204
ETTm1_96_192 mse:0.3740473702603862, mae:0.39146304490949485
ETTm1_96_336 mse:0.4065323497761985, mae:0.4115978713194387
ETTm1_96_720 mse:0.47161735111823205, mae:0.4500080424070954
ETTm2_96_96 mse:0.17734088944332344, mae:0.25867695535429197
ETTm2_96_192 mse:0.24629238078985433, mae:0.30508663811322945
ETTm2_96_336 mse:0.3112504380232637, mae:0.34713515614125684
ETTm2_96_720 mse:0.4050356599095022, mae:0.4015716897669837
ETTh1_96_96 mse:0.3829945884123311, mae:0.400789084843288
ETTh1_96_192 mse:0.4357286712945106, mae:0.4305686211887457
ETTh1_96_336 mse:0.48199582971149435, mae:0.45728229410756077
ETTh1_96_720 mse:0.5137103353038754, mae:0.49831006803870037
ETTh2_96_96 mse:0.2961076502338774, mae:0.3471032523755753
ETTh2_96_192 mse:0.3720344646174742, mae:0.3942870102703638
ETTh2_96_336 mse:0.4159479808245286, mae:0.4321480062012588
ETTh2_96_720 mse:0.42919532453390474, mae:0.44489255893677265
ETTm1_96_96 mse:0.33002121291353614, mae:0.3675237807638014
ETTm1_96_192 mse:0.37448676765854205, mae:0.3916354194639935
ETTm1_96_336 mse:0.4065303983942014, mae:0.41159552922992765
ETTm1_96_720 mse:0.4716010524485798, mae:0.44996570826470766
ETTm2_96_96 mse:0.17707539741985126, mae:0.25865078675799086
ETTm2_96_192 mse:0.24620191215605966, mae:0.30526946677078015
ETTm2_96_336 mse:0.3105295013251665, mae:0.34622607794679805
ETTm2_96_720 mse:0.4056614054462312, mae:0.40233725638822676
ETTh1_96_96 mse:0.38299458789868246, mae:0.40078908450085554
ETTh1_96_192 mse:0.43572864060554417, mae:0.4305685999092891
ETTh1_96_336 mse:0.4819958285873203, mae:0.45728229373283613
ETTh1_96_720 mse:0.5137103383930565, mae:0.4983100684800119
ETTh2_96_96 mse:0.29610765143239093, mae:0.3471032518672772
ETTh2_96_192 mse:0.372034463908159, mae:0.39428701275296707
ETTh2_96_336 mse:0.415947982136065, mae:0.4321480075127952
ETTh2_96_720 mse:0.4291953192381658, mae:0.444892556537141
ETTm1_96_96 mse:0.3237653167457758, mae:0.3618338529468887
ETTm1_96_192 mse:0.37385360522578615, mae:0.3913635721888733
ETTm1_96_336 mse:0.40656464341819737, mae:0.4115821517201263
ETTm1_96_720 mse:0.4716716355145524, mae:0.45003170172336665
ETTm2_96_96 mse:0.17702522147666966, mae:0.258644646277052
ETTm2_96_192 mse:0.2459498104005618, mae:0.3051496377960078
ETTm2_96_336 mse:0.314171861151419, mae:0.3488695938591452
ETTm2_96_720 mse:0.405121737984019, mae:0.40178388128147313
